"ACTIVITY";"AGE";"DERA_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"NUMBER_EMPL";"PCS_ESE";"QUANTILE";"SEX";"UNIT_MEASURE";"WKTIME";"TIME_PERIOD";"OBS_VALUE"
"K";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"FT";2023;6291.68
"J";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"M";"FT";"FT";2023;57336.18
"R_S";"Y50T59";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"_T";"FT";"FT";2023;5274.3
"B_D_E";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"_T";"XDC";"_T";2023;5378.15
"R_S";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E5T9";"3";"_T";"F";"FT";"_T";2023;2343.71
"M_N";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E5T9";"4";"_T";"F";"XDC";"_T";2023;2120.08
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"423B";"_T";"F";"XDC";"_T";2023;2282.93
"C_OTH";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E50T99";"4";"_T";"M";"XDC";"_T";2023;3108.46
"_T";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"473B";"_T";"_T";"XDC";"_T";2023;3558.72
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"461C";"_T";"M";"FT";"_T";2023;2406.44
"H";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"F";"XDC";"_T";2023;2585.36
"_T";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"4";"_T";"_T";"XDC";"_T";2023;2525.18
"_T";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E10T19";"4";"_T";"_T";"XDC";"FT";2023;2673.48
"R_S";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"4";"_T";"M";"FT";"PT";2023;2379.8
"H";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"F";"FT";"_T";2023;9417.89
"K";"Y50T59";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"_T";"FT";"_T";2023;11849.1
